Indicator Code,Indicator Name
SE.SEC.TCAQ.FE.ZS,"Trained teachers in secondary education, female (% of female teachers)"
SE.SEC.TCAQ.MA.ZS,"Trained teachers in secondary education, male (% of male teachers)"
SE.SEC.TCAQ.UP.ZS,Trained teachers in upper secondary education (% of total teachers)
SE.SEC.TCAQ.UP.FE.ZS,"Trained teachers in upper secondary education, female (% of female teachers)"
SE.SEC.TCAQ.UP.MA.ZS,"Trained teachers in upper secondary education, male (% of male teachers)"
SE.PRM.TENR,"Adjusted net enrollment rate, primary (% of primary school age children)"
SE.PRM.TENR.FE,"Adjusted net enrollment rate, primary, female (% of primary school age children)"
SE.PRM.TENR.MA,"Adjusted net enrollment rate, primary, male (% of primary school age children)"
SE.SEC.UNER.LO.ZS,Adolescents out of school (% of lower secondary school age)
SE.SEC.UNER.LO.FE.ZS,"Adolescents out of school, female (% of female lower secondary school age)"
SE.SEC.UNER.LO.MA.ZS,"Adolescents out of school, male (% of male lower secondary school age)"
SE.PRM.UNER.ZS,Children out of school (% of primary school age)
SE.PRM.UNER.FE.ZS,"Children out of school, female (% of female primary school age)"
SE.PRM.UNER.MA.ZS,"Children out of school, male (% of male primary school age)"
SE.PRM.UNER,"Children out of school, primary"
SE.PRM.UNER.FE,"Children out of school, primary, female"
SE.PRM.UNER.MA,"Children out of school, primary, male"
SE.COM.DURS,"Compulsory education, duration (years)"
SE.XPD.CPRM.ZS,"Current education expenditure, primary (% of total expenditure in primary public institutions)"
SE.XPD.CSEC.ZS,"Current education expenditure, secondary (% of total expenditure in secondary public institutions)"
SE.XPD.CTER.ZS,"Current education expenditure, tertiary (% of total expenditure in tertiary public institutions)"
SE.XPD.CTOT.ZS,"Current education expenditure, total (% of total expenditure in public institutions)"
SE.TER.CUAT.BA.FE.ZS,"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)"
SE.TER.CUAT.BA.MA.ZS,"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)"
SE.TER.CUAT.BA.ZS,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)"
SE.SEC.CUAT.LO.FE.ZS,"Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative)"
SE.SEC.CUAT.LO.MA.ZS,"Educational attainment, at least completed lower secondary, population 25+, male (%) (cumulative)"
SE.SEC.CUAT.LO.ZS,"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)"
SE.SEC.CUAT.PO.FE.ZS,"Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)"
SE.SEC.CUAT.PO.MA.ZS,"Educational attainment, at least completed post-secondary, population 25+, male (%) (cumulative)"
SE.SEC.CUAT.PO.ZS,"Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)"
SE.PRM.CUAT.FE.ZS,"Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)"
SE.PRM.CUAT.MA.ZS,"Educational attainment, at least completed primary, population 25+ years, male (%) (cumulative)"
SE.PRM.CUAT.ZS,"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)"
SE.TER.CUAT.ST.FE.ZS,"Educational attainment, at least completed short-cycle tertiary, population 25+, female (%) (cumulative)"
SE.TER.CUAT.ST.MA.ZS,"Educational attainment, at least completed short-cycle tertiary, population 25+, male (%) (cumulative)"
SE.TER.CUAT.ST.ZS,"Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)"
SE.SEC.CUAT.UP.FE.ZS,"Educational attainment, at least completed upper secondary, population 25+, female (%) (cumulative)"
SE.SEC.CUAT.UP.MA.ZS,"Educational attainment, at least completed upper secondary, population 25+, male (%) (cumulative)"
SE.SEC.CUAT.UP.ZS,"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)"
SE.TER.CUAT.MS.FE.ZS,"Educational attainment, at least Master's or equivalent, population 25+, female (%) (cumulative)"
SE.TER.CUAT.MS.MA.ZS,"Educational attainment, at least Master's or equivalent, population 25+, male (%) (cumulative)"
SE.TER.CUAT.MS.ZS,"Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)"
SE.TER.CUAT.DO.FE.ZS,"Educational attainment, Doctoral or equivalent, population 25+, female (%) (cumulative)"
SE.TER.CUAT.DO.MA.ZS,"Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative)"
SE.TER.CUAT.DO.ZS,"Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)"
SE.XPD.PRIM.ZS,Expenditure on primary education (% of government expenditure on education)
SE.XPD.SECO.ZS,Expenditure on secondary education (% of government expenditure on education)
SE.XPD.TERT.ZS,Expenditure on tertiary education (% of government expenditure on education)
SE.XPD.TOTL.GD.ZS,"Government expenditure on education, total (% of GDP)"
SE.XPD.TOTL.GB.ZS,"Government expenditure on education, total (% of government expenditure)"
SE.XPD.PRIM.PC.ZS,"Government expenditure per student, primary (% of GDP per capita)"
SE.XPD.SECO.PC.ZS,"Government expenditure per student, secondary (% of GDP per capita)"
SE.XPD.TERT.PC.ZS,"Government expenditure per student, tertiary (% of GDP per capita)"
SE.PRM.GINT.FE.ZS,"Gross intake ratio in first grade of primary education, female (% of relevant age group)"
SE.PRM.GINT.MA.ZS,"Gross intake ratio in first grade of primary education, male (% of relevant age group)"
SE.PRM.GINT.ZS,"Gross intake ratio in first grade of primary education, total (% of relevant age group)"
SE.ADT.LITR.FE.ZS,"Literacy rate, adult female (% of females ages 15 and above)"
SE.ADT.LITR.MA.ZS,"Literacy rate, adult male (% of males ages 15 and above)"
SE.ADT.LITR.ZS,"Literacy rate, adult total (% of people ages 15 and above)"
SE.ADT.1524.LT.FM.ZS,"Literacy rate, youth (ages 15-24), gender parity index (GPI)"
SE.ADT.1524.LT.FE.ZS,"Literacy rate, youth female (% of females ages 15-24)"
SE.ADT.1524.LT.MA.ZS,"Literacy rate, youth male (% of males ages 15-24)"
SE.ADT.1524.LT.ZS,"Literacy rate, youth total (% of people ages 15-24)"
SE.SEC.CMPT.LO.FE.ZS,"Lower secondary completion rate, female (% of relevant age group)"
SE.SEC.CMPT.LO.MA.ZS,"Lower secondary completion rate, male (% of relevant age group)"
SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)"
SE.SEC.AGES,Lower secondary school starting age (years)
SE.PRM.NINT.ZS,Net intake rate in grade 1 (% of official school-age population)
SE.PRM.NINT.FE.ZS,"Net intake rate in grade 1, female (% of official school-age population)"
SE.PRM.NINT.MA.ZS,"Net intake rate in grade 1, male (% of official school-age population)"
SE.PRM.OENR.ZS,"Over-age students, primary (% of enrollment)"
SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)"
SE.PRM.OENR.MA.ZS,"Over-age students, primary, male (% of male enrollment)"
SE.PRM.PRS5.FE.ZS,"Persistence to grade 5, female (% of cohort)"
SE.PRM.PRS5.MA.ZS,"Persistence to grade 5, male (% of cohort)"
SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)"
SE.PRM.PRSL.FE.ZS,"Persistence to last grade of primary, female (% of cohort)"
SE.PRM.PRSL.MA.ZS,"Persistence to last grade of primary, male (% of cohort)"
SE.PRM.PRSL.ZS,"Persistence to last grade of primary, total (% of cohort)"
SE.PRE.DURS,"Preprimary education, duration (years)"
SE.PRM.CMPT.FE.ZS,"Primary completion rate, female (% of relevant age group)"
SE.PRM.CMPT.MA.ZS,"Primary completion rate, male (% of relevant age group)"
SE.PRM.CMPT.ZS,"Primary completion rate, total (% of relevant age group)"
SE.PRM.DURS,"Primary education, duration (years)"
SE.PRM.ENRL,"Primary education, pupils"
SE.PRM.ENRL.FE.ZS,"Primary education, pupils (% female)"
SE.PRM.TCHR,"Primary education, teachers"
SE.PRM.TCHR.FE.ZS,"Primary education, teachers (% female)"
SE.PRM.AGES,Primary school starting age (years)
SE.SEC.PROG.ZS,Progression to secondary school (%)
SE.SEC.PROG.FE.ZS,"Progression to secondary school, female (%)"
SE.SEC.PROG.MA.ZS,"Progression to secondary school, male (%)"
SE.SEC.ENRL.LO.TC.ZS,"Pupil-teacher ratio, lower secondary"
SE.PRE.ENRL.TC.ZS,"Pupil-teacher ratio, preprimary"
SE.PRM.ENRL.TC.ZS,"Pupil-teacher ratio, primary"
SE.SEC.ENRL.TC.ZS,"Pupil-teacher ratio, secondary"
SE.TER.ENRL.TC.ZS,"Pupil-teacher ratio, tertiary"
SE.SEC.ENRL.UP.TC.ZS,"Pupil-teacher ratio, upper secondary"
SE.PRM.REPT.FE.ZS,"Repeaters, primary, female (% of female enrollment)"
SE.PRM.REPT.MA.ZS,"Repeaters, primary, male (% of male enrollment)"
SE.PRM.REPT.ZS,"Repeaters, primary, total (% of total enrollment)"
SE.PRE.ENRR,"School enrollment, preprimary (% gross)"
SE.PRE.ENRR.FE,"School enrollment, preprimary, female (% gross)"
SE.PRE.ENRR.MA,"School enrollment, preprimary, male (% gross)"
SE.PRM.ENRR,"School enrollment, primary (% gross)"
SE.PRM.NENR,"School enrollment, primary (% net)"
SE.ENR.PRIM.FM.ZS,"School enrollment, primary (gross), gender parity index (GPI)"
SE.ENR.PRSC.FM.ZS,"School enrollment, primary and secondary (gross), gender parity index (GPI)"
SE.PRM.ENRR.FE,"School enrollment, primary, female (% gross)"
SE.PRM.NENR.FE,"School enrollment, primary, female (% net)"
SE.PRM.ENRR.MA,"School enrollment, primary, male (% gross)"
SE.PRM.NENR.MA,"School enrollment, primary, male (% net)"
SE.PRM.PRIV.ZS,"School enrollment, primary, private (% of total primary)"
SE.SEC.ENRR,"School enrollment, secondary (% gross)"
SE.SEC.NENR,"School enrollment, secondary (% net)"
SE.ENR.SECO.FM.ZS,"School enrollment, secondary (gross), gender parity index (GPI)"
SE.SEC.ENRR.FE,"School enrollment, secondary, female (% gross)"
SE.SEC.NENR.FE,"School enrollment, secondary, female (% net)"
SE.SEC.ENRR.MA,"School enrollment, secondary, male (% gross)"
SE.SEC.NENR.MA,"School enrollment, secondary, male (% net)"
SE.SEC.PRIV.ZS,"School enrollment, secondary, private (% of total secondary)"
SE.TER.ENRR,"School enrollment, tertiary (% gross)"
SE.ENR.TERT.FM.ZS,"School enrollment, tertiary (gross), gender parity index (GPI)"
SE.TER.ENRR.FE,"School enrollment, tertiary, female (% gross)"
SE.TER.ENRR.MA,"School enrollment, tertiary, male (% gross)"
SE.SEC.DURS,"Secondary education, duration (years)"
SE.SEC.ENRL.GC,"Secondary education, general pupils"
SE.SEC.ENRL.GC.FE.ZS,"Secondary education, general pupils (% female)"
SE.SEC.ENRL,"Secondary education, pupils"
SE.SEC.ENRL.FE.ZS,"Secondary education, pupils (% female)"
SE.SEC.TCHR,"Secondary education, teachers"
SE.SEC.TCHR.FE.ZS,"Secondary education, teachers (% female)"
SE.SEC.TCHR.FE,"Secondary education, teachers, female"
SE.SEC.ENRL.VO,"Secondary education, vocational pupils"
SE.SEC.ENRL.VO.FE.ZS,"Secondary education, vocational pupils (% female)"
SE.TER.TCHR.FE.ZS,"Tertiary education, academic staff (% female)"
SE.SEC.TCAQ.LO.ZS,Trained teachers in lower secondary education (% of total teachers)
SE.SEC.TCAQ.LO.FE.ZS,"Trained teachers in lower secondary education, female (% of female teachers)"
SE.SEC.TCAQ.LO.MA.ZS,"Trained teachers in lower secondary education, male (% of male teachers)"
SE.PRE.TCAQ.ZS,Trained teachers in preprimary education (% of total teachers)
SE.PRE.TCAQ.FE.ZS,"Trained teachers in preprimary education, female (% of female teachers)"
SE.PRE.TCAQ.MA.ZS,"Trained teachers in preprimary education, male (% of male teachers)"
SE.PRM.TCAQ.ZS,Trained teachers in primary education (% of total teachers)
SE.PRM.TCAQ.FE.ZS,"Trained teachers in primary education, female (% of female teachers)"
SE.PRM.TCAQ.MA.ZS,"Trained teachers in primary education, male (% of male teachers)"
SE.SEC.TCAQ.ZS,Trained teachers in secondary education (% of total teachers)
SE.SEC.TCAQ.FE.ZS,"Trained teachers in secondary education, female (% of female teachers)"
SE.SEC.TCAQ.MA.ZS,"Trained teachers in secondary education, male (% of male teachers)"
SE.SEC.TCAQ.UP.ZS,Trained teachers in upper secondary education (% of total teachers)
SE.SEC.TCAQ.UP.FE.ZS,"Trained teachers in upper secondary education, female (% of female teachers)"
SE.SEC.TCAQ.UP.MA.ZS,"Trained teachers in upper secondary education, male (% of male teachers)"
SE.PRM.TENR,"Adjusted net enrollment rate, primary (% of primary school age children)"
SE.PRM.TENR.FE,"Adjusted net enrollment rate, primary, female (% of primary school age children)"
SE.PRM.TENR.MA,"Adjusted net enrollment rate, primary, male (% of primary school age children)"
SE.SEC.UNER.LO.ZS,Adolescents out of school (% of lower secondary school age)
SE.SEC.UNER.LO.FE.ZS,"Adolescents out of school, female (% of female lower secondary school age)"
SE.SEC.UNER.LO.MA.ZS,"Adolescents out of school, male (% of male lower secondary school age)"
SE.PRM.UNER.ZS,Children out of school (% of primary school age)
SE.PRM.UNER.FE.ZS,"Children out of school, female (% of female primary school age)"
SE.PRM.UNER.MA.ZS,"Children out of school, male (% of male primary school age)"
SE.PRM.UNER,"Children out of school, primary"
SE.PRM.UNER.FE,"Children out of school, primary, female"
SE.PRM.UNER.MA,"Children out of school, primary, male"
SE.COM.DURS,"Compulsory education, duration (years)"
SE.XPD.CPRM.ZS,"Current education expenditure, primary (% of total expenditure in primary public institutions)"
SE.XPD.CSEC.ZS,"Current education expenditure, secondary (% of total expenditure in secondary public institutions)"
SE.XPD.CTER.ZS,"Current education expenditure, tertiary (% of total expenditure in tertiary public institutions)"
SE.XPD.CTOT.ZS,"Current education expenditure, total (% of total expenditure in public institutions)"
SE.TER.CUAT.BA.FE.ZS,"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)"
SE.TER.CUAT.BA.MA.ZS,"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)"
SE.TER.CUAT.BA.ZS,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)"
SE.SEC.CUAT.LO.FE.ZS,"Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative)"
SE.SEC.CUAT.LO.MA.ZS,"Educational attainment, at least completed lower secondary, population 25+, male (%) (cumulative)"
SE.SEC.CUAT.LO.ZS,"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)"
SE.SEC.CUAT.PO.FE.ZS,"Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)"
SE.SEC.CUAT.PO.MA.ZS,"Educational attainment, at least completed post-secondary, population 25+, male (%) (cumulative)"
SE.SEC.CUAT.PO.ZS,"Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)"
SE.PRM.CUAT.FE.ZS,"Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)"
SE.PRM.CUAT.MA.ZS,"Educational attainment, at least completed primary, population 25+ years, male (%) (cumulative)"
SE.PRM.CUAT.ZS,"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)"
SE.TER.CUAT.ST.FE.ZS,"Educational attainment, at least completed short-cycle tertiary, population 25+, female (%) (cumulative)"
SE.TER.CUAT.ST.MA.ZS,"Educational attainment, at least completed short-cycle tertiary, population 25+, male (%) (cumulative)"
SE.TER.CUAT.ST.ZS,"Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)"
SE.SEC.CUAT.UP.FE.ZS,"Educational attainment, at least completed upper secondary, population 25+, female (%) (cumulative)"
SE.SEC.CUAT.UP.MA.ZS,"Educational attainment, at least completed upper secondary, population 25+, male (%) (cumulative)"
SE.SEC.CUAT.UP.ZS,"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)"
SE.TER.CUAT.MS.FE.ZS,"Educational attainment, at least Master's or equivalent, population 25+, female (%) (cumulative)"
SE.TER.CUAT.MS.MA.ZS,"Educational attainment, at least Master's or equivalent, population 25+, male (%) (cumulative)"
SE.TER.CUAT.MS.ZS,"Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)"
SE.TER.CUAT.DO.FE.ZS,"Educational attainment, Doctoral or equivalent, population 25+, female (%) (cumulative)"
SE.TER.CUAT.DO.MA.ZS,"Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative)"
SE.TER.CUAT.DO.ZS,"Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)"
SE.XPD.PRIM.ZS,Expenditure on primary education (% of government expenditure on education)
SE.XPD.SECO.ZS,Expenditure on secondary education (% of government expenditure on education)
SE.XPD.TERT.ZS,Expenditure on tertiary education (% of government expenditure on education)
SE.XPD.TOTL.GD.ZS,"Government expenditure on education, total (% of GDP)"
SE.XPD.TOTL.GB.ZS,"Government expenditure on education, total (% of government expenditure)"
SE.XPD.PRIM.PC.ZS,"Government expenditure per student, primary (% of GDP per capita)"
SE.XPD.SECO.PC.ZS,"Government expenditure per student, secondary (% of GDP per capita)"
SE.XPD.TERT.PC.ZS,"Government expenditure per student, tertiary (% of GDP per capita)"
SE.PRM.GINT.FE.ZS,"Gross intake ratio in first grade of primary education, female (% of relevant age group)"
SE.PRM.GINT.MA.ZS,"Gross intake ratio in first grade of primary education, male (% of relevant age group)"
SE.PRM.GINT.ZS,"Gross intake ratio in first grade of primary education, total (% of relevant age group)"
SE.ADT.LITR.FE.ZS,"Literacy rate, adult female (% of females ages 15 and above)"
SE.ADT.LITR.MA.ZS,"Literacy rate, adult male (% of males ages 15 and above)"
SE.ADT.LITR.ZS,"Literacy rate, adult total (% of people ages 15 and above)"
SE.ADT.1524.LT.FM.ZS,"Literacy rate, youth (ages 15-24), gender parity index (GPI)"
SE.ADT.1524.LT.FE.ZS,"Literacy rate, youth female (% of females ages 15-24)"
SE.ADT.1524.LT.MA.ZS,"Literacy rate, youth male (% of males ages 15-24)"
SE.ADT.1524.LT.ZS,"Literacy rate, youth total (% of people ages 15-24)"
SE.SEC.CMPT.LO.FE.ZS,"Lower secondary completion rate, female (% of relevant age group)"
SE.SEC.CMPT.LO.MA.ZS,"Lower secondary completion rate, male (% of relevant age group)"
SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)"
SE.SEC.AGES,Lower secondary school starting age (years)
SE.PRM.NINT.ZS,Net intake rate in grade 1 (% of official school-age population)
SE.PRM.NINT.FE.ZS,"Net intake rate in grade 1, female (% of official school-age population)"
SE.PRM.NINT.MA.ZS,"Net intake rate in grade 1, male (% of official school-age population)"
SE.PRM.OENR.ZS,"Over-age students, primary (% of enrollment)"
SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)"
SE.PRM.OENR.MA.ZS,"Over-age students, primary, male (% of male enrollment)"
SE.PRM.PRS5.FE.ZS,"Persistence to grade 5, female (% of cohort)"
SE.PRM.PRS5.MA.ZS,"Persistence to grade 5, male (% of cohort)"
SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)"
SE.PRM.PRSL.FE.ZS,"Persistence to last grade of primary, female (% of cohort)"
SE.PRM.PRSL.MA.ZS,"Persistence to last grade of primary, male (% of cohort)"
SE.PRM.PRSL.ZS,"Persistence to last grade of primary, total (% of cohort)"
SE.PRE.DURS,"Preprimary education, duration (years)"
SE.PRM.CMPT.FE.ZS,"Primary completion rate, female (% of relevant age group)"
SE.PRM.CMPT.MA.ZS,"Primary completion rate, male (% of relevant age group)"
SE.PRM.CMPT.ZS,"Primary completion rate, total (% of relevant age group)"
SE.PRM.DURS,"Primary education, duration (years)"
SE.PRM.ENRL,"Primary education, pupils"
SE.PRM.ENRL.FE.ZS,"Primary education, pupils (% female)"
SE.PRM.TCHR,"Primary education, teachers"
SE.PRM.TCHR.FE.ZS,"Primary education, teachers (% female)"
SE.PRM.AGES,Primary school starting age (years)
SE.SEC.PROG.ZS,Progression to secondary school (%)
SE.SEC.PROG.FE.ZS,"Progression to secondary school, female (%)"
SE.SEC.PROG.MA.ZS,"Progression to secondary school, male (%)"
SE.SEC.ENRL.LO.TC.ZS,"Pupil-teacher ratio, lower secondary"
SE.PRE.ENRL.TC.ZS,"Pupil-teacher ratio, preprimary"
SE.PRM.ENRL.TC.ZS,"Pupil-teacher ratio, primary"
SE.SEC.ENRL.TC.ZS,"Pupil-teacher ratio, secondary"
SE.TER.ENRL.TC.ZS,"Pupil-teacher ratio, tertiary"
SE.SEC.ENRL.UP.TC.ZS,"Pupil-teacher ratio, upper secondary"
SE.PRM.REPT.FE.ZS,"Repeaters, primary, female (% of female enrollment)"
SE.PRM.REPT.MA.ZS,"Repeaters, primary, male (% of male enrollment)"
SE.PRM.REPT.ZS,"Repeaters, primary, total (% of total enrollment)"
SE.PRE.ENRR,"School enrollment, preprimary (% gross)"
SE.PRE.ENRR.FE,"School enrollment, preprimary, female (% gross)"
SE.PRE.ENRR.MA,"School enrollment, preprimary, male (% gross)"
SE.PRM.ENRR,"School enrollment, primary (% gross)"
SE.PRM.NENR,"School enrollment, primary (% net)"
SE.ENR.PRIM.FM.ZS,"School enrollment, primary (gross), gender parity index (GPI)"
SE.ENR.PRSC.FM.ZS,"School enrollment, primary and secondary (gross), gender parity index (GPI)"
SE.PRM.ENRR.FE,"School enrollment, primary, female (% gross)"
SE.PRM.NENR.FE,"School enrollment, primary, female (% net)"
SE.PRM.ENRR.MA,"School enrollment, primary, male (% gross)"
SE.PRM.NENR.MA,"School enrollment, primary, male (% net)"
SE.PRM.PRIV.ZS,"School enrollment, primary, private (% of total primary)"
SE.SEC.ENRR,"School enrollment, secondary (% gross)"
SE.SEC.NENR,"School enrollment, secondary (% net)"
SE.ENR.SECO.FM.ZS,"School enrollment, secondary (gross), gender parity index (GPI)"
SE.SEC.ENRR.FE,"School enrollment, secondary, female (% gross)"
SE.SEC.NENR.FE,"School enrollment, secondary, female (% net)"
SE.SEC.ENRR.MA,"School enrollment, secondary, male (% gross)"
SE.SEC.NENR.MA,"School enrollment, secondary, male (% net)"
SE.SEC.PRIV.ZS,"School enrollment, secondary, private (% of total secondary)"
SE.TER.ENRR,"School enrollment, tertiary (% gross)"
SE.ENR.TERT.FM.ZS,"School enrollment, tertiary (gross), gender parity index (GPI)"
SE.TER.ENRR.FE,"School enrollment, tertiary, female (% gross)"
SE.TER.ENRR.MA,"School enrollment, tertiary, male (% gross)"
SE.SEC.DURS,"Secondary education, duration (years)"
SE.SEC.ENRL.GC,"Secondary education, general pupils"
SE.SEC.ENRL.GC.FE.ZS,"Secondary education, general pupils (% female)"
SE.SEC.ENRL,"Secondary education, pupils"
SE.SEC.ENRL.FE.ZS,"Secondary education, pupils (% female)"
SE.SEC.TCHR,"Secondary education, teachers"
SE.SEC.TCHR.FE.ZS,"Secondary education, teachers (% female)"
SE.SEC.TCHR.FE,"Secondary education, teachers, female"
SE.SEC.ENRL.VO,"Secondary education, vocational pupils"
SE.SEC.ENRL.VO.FE.ZS,"Secondary education, vocational pupils (% female)"
SE.TER.TCHR.FE.ZS,"Tertiary education, academic staff (% female)"
SE.SEC.TCAQ.LO.ZS,Trained teachers in lower secondary education (% of total teachers)
SE.SEC.TCAQ.LO.FE.ZS,"Trained teachers in lower secondary education, female (% of female teachers)"
SE.SEC.TCAQ.LO.MA.ZS,"Trained teachers in lower secondary education, male (% of male teachers)"
SE.PRE.TCAQ.ZS,Trained teachers in preprimary education (% of total teachers)
SE.PRE.TCAQ.FE.ZS,"Trained teachers in preprimary education, female (% of female teachers)"
SE.PRE.TCAQ.MA.ZS,"Trained teachers in preprimary education, male (% of male teachers)"
SE.PRM.TCAQ.ZS,Trained teachers in primary education (% of total teachers)
SE.PRM.TCAQ.FE.ZS,"Trained teachers in primary education, female (% of female teachers)"
SE.PRM.TCAQ.MA.ZS,"Trained teachers in primary education, male (% of male teachers)"
SE.SEC.TCAQ.ZS,Trained teachers in secondary education (% of total teachers)
SE.SEC.TCAQ.FE.ZS,"Trained teachers in secondary education, female (% of female teachers)"
SE.SEC.TCAQ.MA.ZS,"Trained teachers in secondary education, male (% of male teachers)"
SE.SEC.TCAQ.UP.ZS,Trained teachers in upper secondary education (% of total teachers)
SE.SEC.TCAQ.UP.FE.ZS,"Trained teachers in upper secondary education, female (% of female teachers)"
SE.SEC.TCAQ.UP.MA.ZS,"Trained teachers in upper secondary education, male (% of male teachers)"
SE.PRM.TENR,"Adjusted net enrollment rate, primary (% of primary school age children)"
SE.PRM.TENR.FE,"Adjusted net enrollment rate, primary, female (% of primary school age children)"
SE.PRM.TENR.MA,"Adjusted net enrollment rate, primary, male (% of primary school age children)"
SE.SEC.UNER.LO.ZS,Adolescents out of school (% of lower secondary school age)
SE.SEC.UNER.LO.FE.ZS,"Adolescents out of school, female (% of female lower secondary school age)"
SE.SEC.UNER.LO.MA.ZS,"Adolescents out of school, male (% of male lower secondary school age)"
SE.PRM.UNER.ZS,Children out of school (% of primary school age)
SE.PRM.UNER.FE.ZS,"Children out of school, female (% of female primary school age)"
SE.PRM.UNER.MA.ZS,"Children out of school, male (% of male primary school age)"
SE.PRM.UNER,"Children out of school, primary"
SE.PRM.UNER.FE,"Children out of school, primary, female"
SE.PRM.UNER.MA,"Children out of school, primary, male"
SE.COM.DURS,"Compulsory education, duration (years)"
SE.XPD.CPRM.ZS,"Current education expenditure, primary (% of total expenditure in primary public institutions)"
SE.XPD.CSEC.ZS,"Current education expenditure, secondary (% of total expenditure in secondary public institutions)"
SE.XPD.CTER.ZS,"Current education expenditure, tertiary (% of total expenditure in tertiary public institutions)"
SE.XPD.CTOT.ZS,"Current education expenditure, total (% of total expenditure in public institutions)"
SE.TER.CUAT.BA.FE.ZS,"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)"
SE.TER.CUAT.BA.MA.ZS,"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)"
SE.TER.CUAT.BA.ZS,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)"
SE.SEC.CUAT.LO.FE.ZS,"Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative)"
SE.SEC.CUAT.LO.MA.ZS,"Educational attainment, at least completed lower secondary, population 25+, male (%) (cumulative)"
SE.SEC.CUAT.LO.ZS,"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)"
SE.SEC.CUAT.PO.FE.ZS,"Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)"
SE.SEC.CUAT.PO.MA.ZS,"Educational attainment, at least completed post-secondary, population 25+, male (%) (cumulative)"
SE.SEC.CUAT.PO.ZS,"Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)"
SE.PRM.CUAT.FE.ZS,"Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)"
SE.PRM.CUAT.MA.ZS,"Educational attainment, at least completed primary, population 25+ years, male (%) (cumulative)"
SE.PRM.CUAT.ZS,"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)"
SE.TER.CUAT.ST.FE.ZS,"Educational attainment, at least completed short-cycle tertiary, population 25+, female (%) (cumulative)"
SE.TER.CUAT.ST.MA.ZS,"Educational attainment, at least completed short-cycle tertiary, population 25+, male (%) (cumulative)"
SE.TER.CUAT.ST.ZS,"Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)"
SE.SEC.CUAT.UP.FE.ZS,"Educational attainment, at least completed upper secondary, population 25+, female (%) (cumulative)"
SE.SEC.CUAT.UP.MA.ZS,"Educational attainment, at least completed upper secondary, population 25+, male (%) (cumulative)"
SE.SEC.CUAT.UP.ZS,"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)"
SE.TER.CUAT.MS.FE.ZS,"Educational attainment, at least Master's or equivalent, population 25+, female (%) (cumulative)"
SE.TER.CUAT.MS.MA.ZS,"Educational attainment, at least Master's or equivalent, population 25+, male (%) (cumulative)"
SE.TER.CUAT.MS.ZS,"Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)"
